MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65439-62239,65439-22288,65439-21948,65439-25079,65439-65128,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65439-21948,65439-64585,65439-11505,65439-62239,65439-70027,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65439-25079,65439-39280,65439-70603,65439-14190,65439-22100,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65439-62239,65439-80294,65439-22288,65439-39280,65439-21948,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65439-21948,65439-11505,65439-62239,65439-65128,65439-70027,,,,,,,,,,,,,,,,,,,
65439-62239,65439-22288,65439-64585,65439-21948,65439-25079,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65439-39280,65439-80294,65439-22288,65439-62239,65439-21948,,65439-70603:Devin Singletary,65439-70603,RB,Devin,Devin Singletary,Singletary,8.11999969482422,5,8000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-11505,65439-22100,65439-21948,65439-70027,,65439-22100:Randy Bullock,65439-22100,K,Randy,Randy Bullock,Bullock,9.75,4,8000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
65439-21948,65439-22288,65439-64585,65439-62239,65439-25079,,65439-28663:Sam Ficken,65439-28663,K,Sam,Sam Ficken,Ficken,6,9,8000,BUF@TEN,TEN,BUF,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
65439-62239,65439-22288,65439-39280,65439-11505,65439-70027,,65439-22288:Cole Beasley,65439-22288,WR,Cole,Cole Beasley,Beasley,6.9,5,7500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-56648:Jeremy McNichols,65439-56648,RB,Jeremy,Jeremy McNichols,McNichols,6.85999984741211,5,7500,BUF@TEN,TEN,BUF,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-70372:Chester Rogers,65439-70372,WR,Chester,Chester Rogers,Rogers,6.25999984741211,5,7000,BUF@TEN,TEN,BUF,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-53097:Josh Reynolds,65439-53097,WR,Josh,Josh Reynolds,Reynolds,5.09999990463257,2,7000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-64389:Nick Westbrook-Ikhine,65439-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,4.57499980926514,4,6500,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-80294:Anthony Firkser,65439-80294,TE,Anthony,Anthony Firkser,Firkser,4,3,6000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-94534:Gabriel Davis,65439-94534,WR,Gabriel,Gabriel Davis,Davis,3.97499990463257,4,6000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-57432:Cameron Batson,65439-57432,WR,Cameron,Cameron Batson,Batson,3.33333333333333,3,6000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-32235:Marcus Johnson,65439-32235,WR,Marcus,Marcus Johnson,Johnson,6.69999980926514,1,6000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-53639:Isaiah McKenzie,65439-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0.220000004768372,5,5500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-62505:MyCole Pruitt,65439-62505,TE,MyCole,MyCole Pruitt,Pruitt,4.69999980926514,4,5500,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-53303:Matt Breida,65439-53303,RB,Matt,Matt Breida,Breida,0.400000005960465,1,5500,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-54280:Duke Williams,65439-54280,WR,Duke,Duke Williams,Williams,,,5000,BUF@TEN,BUF,TEN,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-56212:Tommy Sweeney,65439-56212,TE,Tommy,Tommy Sweeney,Sweeney,0.899999976158142,2,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-27671:Jake Kumerow,65439-27671,WR,Jake,Jake Kumerow,Kumerow,0,1,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-53913:Cody Hollister,65439-53913,WR,Cody,Cody Hollister,Hollister,1.70000004768372,1,5000,BUF@TEN,TEN,BUF,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-70426:Reggie Gilliam,65439-70426,TE,Reggie,Reggie Gilliam,Gilliam,0.533333341280619,3,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-86173:Mekhi Sargent,65439-86173,RB,Mekhi,Mekhi Sargent,Sargent,0.200000002980232,2,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-29605:Matt Barkley,65439-29605,QB,Matt,Matt Barkley,Barkley,2.5699999332428,4,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-55209:Nate Becker,65439-55209,TE,Nate,Nate Becker,Becker,,,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-65839:Kahale Warring,65439-65839,TE,Kahale,Kahale Warring,Warring,1.25,4,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-103352:Christian Wade,65439-103352,RB,Christian,Christian Wade,Wade,,,5000,BUF@TEN,BUF,TEN,O,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-57537:DeShone Kizer,65439-57537,QB,DeShone,DeShone Kizer,Kizer,,,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-45259:Logan Woodside,65439-45259,QB,Logan,Logan Woodside,Woodside,0.255999994277954,5,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-85731:Racey McMath,65439-85731,WR,Racey,Racey McMath,McMath,0,1,5000,BUF@TEN,TEN,BUF,IR,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-38628:Mitchell Trubisky,65439-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,3.02000013987223,3,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-130276:Mason Kinsey,65439-130276,WR,Mason,Mason Kinsey,Kinsey,0,1,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-56041:Khari Blasingame,65439-56041,RB,Khari,Khari Blasingame,Blasingame,1.18000001907349,5,5000,BUF@TEN,TEN,BUF,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-70383:Darrynton Evans,65439-70383,RB,Darrynton,Darrynton Evans,Evans,2.53333330154419,6,5000,BUF@TEN,TEN,BUF,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-14319:Taiwan Jones,65439-14319,RB,Taiwan,Taiwan Jones,Jones,0,3,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-71280:Kalija Lipscomb,65439-71280,WR,Kalija,Kalija Lipscomb,Lipscomb,,,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-31602:Fred Brown,65439-31602,WR,Fred,Fred Brown,Brown,0,1,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-39795:Davis Webb,65439-39795,QB,Davis,Davis Webb,Webb,,,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-91639:Jake Fromm,65439-91639,QB,Jake,Jake Fromm,Fromm,,,5000,BUF@TEN,BUF,TEN,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-60791:Tommy Hudson,65439-60791,TE,Tommy,Tommy Hudson,Hudson,1.53333330154419,3,5000,BUF@TEN,TEN,BUF,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-54010:Brian Hill,65439-54010,RB,Brian,Brian Hill,Hill,5.18125009536743,16,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65439-38523:Geoff Swaim,65439-38523,TE,Geoff,Geoff Swaim,Swaim,1.23999996185303,5,5000,BUF@TEN,TEN,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
